,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
82,0.15,6,1200,2,17.64412141,0.007402229,0.011009326,348,29.69756889,1504.386719,0.001258003,0.01460882,298,66.51702547,19373.52344,0.032961709,0.072775181,0.092921734
83,0.15,6,1200,3,16.24401879,0.007172857,0.011754063,381,29.68445849,1504.386719,0.000936538,0.014714277,387,63.68704748,19373.52344,0.033512199,0.071194284,0.09149766
84,0.15,6,1200,4,21.33843756,0.006974717,0.011061019,390,28.51662517,1504.386719,0.001151546,0.01321433,379,68.44043446,19373.52344,0.032356736,0.073245039,0.081703901
130,0.1,6,800,0,15.72755384,0.006551324,0.012149425,392,31.3233552,1504.386719,0.000937927,0.015838759,396,35.02913404,19373.52344,0.035002768,0.07886198,0.066828966
131,0.1,6,800,1,13.19117332,0.007606182,0.012712302,398,22.1845932,1504.386719,0.002261074,0.017101245,368,70.40198946,19373.52344,0.034430767,0.082327784,0.048955917
132,0.1,6,800,2,16.05915022,0.007919794,0.014910881,381,21.42935681,1504.386719,0.001526974,0.016863072,348,75.98891973,19373.52344,0.034557654,0.080826551,0.063770771
133,0.1,6,800,3,13.02245498,0.006960085,0.011808788,360,34.9901278,1504.386719,0.001051738,0.016094074,372,43.43570757,19373.52344,0.033803238,0.079499802,0.071166039
134,0.1,6,800,4,13.20993638,0.006718117,0.012730636,399,22.87698007,1504.386719,0.007048654,0.015948769,398,38.76268172,19373.52344,0.035084184,0.079341368,0.0744133
180,0.075,6,600,0,46.40763998,0.00711252,0.014546762,392,18.95630717,1504.386719,0.001241755,0.018227816,366,36.43413949,19373.52344,0.034681847,0.084130848,0.041224003
181,0.075,6,600,1,13.23206234,0.006993453,0.013524313,399,17.8702724,1504.386719,0.002654884,0.017120551,392,35.94550157,19373.52344,0.036047296,0.084905884,0.041399479
182,0.075,6,600,2,27.86443973,0.007983152,0.016116511,363,16.15445876,1504.386719,0.001292967,0.018500686,392,36.46718216,19373.52344,0.036855926,0.085780883,0.051234961
183,0.075,6,600,3,19.48445821,0.007465632,0.01438627,380,16.1327889,1504.386719,0.002020456,0.016336534,152,36.17288208,19373.52344,0.036784869,0.083422271,0.049529791
184,0.075,6,600,4,16.4231143,0.008288232,0.016077226,387,15.00409317,1504.386719,0.001006914,0.017179575,348,36.83335328,19373.52344,0.035784592,0.082068728,0.067455769
230,0.05,6,400,0,15.56101155,0.005850074,0.014911341,396,10.22745585,1504.386719,0.001018696,0.019713292,319,33.26532102,19373.52344,0.038409145,0.08459038,0.036889791
231,0.05,6,400,1,17.26751637,0.007477182,0.017683949,397,9.155815363,1504.386719,0.00398883,0.021965463,345,33.32070947,19373.52344,0.037889408,0.084729618,0.037479401
232,0.05,6,400,2,15.66715503,0.006830484,0.016762128,390,10.06722093,1504.386719,0.004887837,0.019060578,175,34.08216286,19373.52344,0.037516679,0.08377637,0.040846348
233,0.05,6,400,3,13.35644293,0.006239005,0.016776141,382,9.483535051,1504.386719,0.007049079,0.020601526,372,34.40920782,19373.52344,0.035869498,0.088081869,0.031297684
234,0.05,6,400,4,15.04992104,0.006659782,0.016539615,399,10.14679646,1504.386719,0.001694283,0.019110363,196,34.38337731,19373.52344,0.036566493,0.087397486,0.038188219
35,0.2,7,1600,0,14.4723773,0.005901586,0.0087766,372,39.17957878,1504.386719,0.001742023,0.011521041,394,53.21263385,19373.52344,0.018830038,0.04555342,0.096183538
36,0.2,7,1600,1,11.63975382,0.00569454,0.0091786,387,36.71822119,1504.386719,0.001041665,0.011685333,368,53.26181555,19373.52344,0.019057195,0.044953432,0.12609601
37,0.2,7,1600,2,11.19592857,0.005402122,0.008082624,386,37.40341663,1504.386719,0.002075249,0.011593645,396,52.4157002,19373.52344,0.01909942,0.044023632,0.099816561
38,0.2,7,1600,3,14.54323697,0.005627805,0.008346139,376,39.37500715,1504.386719,0.003837046,0.012114372,351,53.62604046,19373.52344,0.019999528,0.046528106,0.11949563
39,0.2,7,1600,4,15.36233115,0.005924904,0.009290272,391,39.28325367,1504.386719,0.002155601,0.011392817,93,54.06537151,19373.52344,0.018897141,0.044694062,0.095132113
85,0.15,7,1200,0,36.7414124,0.005595525,0.010563933,394,29.29319191,1504.386719,0.001655395,0.012934875,257,68.97866559,19373.52344,0.021213103,0.045640948,0.069092989
86,0.15,7,1200,1,41.91939831,0.005419682,0.009269305,363,30.316154,1504.386719,0.002228416,0.013012419,368,70.01886225,19373.52344,0.021317283,0.045652192,0.108908653
87,0.15,7,1200,2,44.09746838,0.00577741,0.009760054,387,36.22119999,1504.386719,0.002982598,0.012765961,371,71.41049671,19373.52344,0.019342628,0.044701289,0.090424299
88,0.15,7,1200,3,14.62318516,0.005619445,0.008995054,393,34.4707377,1504.386719,0.001723515,0.012655017,376,75.15209627,19373.52344,0.02216934,0.047807315,0.088772774
